HS_CODE,ship_type
12079100,Dry Bulk
12079900,Dry Bulk
12081000,Dry Bulk
12089000,Dry Bulk
12091000,Dry Bulk
12092100,Dry Bulk
12092200,Dry Bulk
12092300,Dry Bulk
12092400,Dry Bulk
12092500,Dry Bulk
12092900,Dry Bulk
12093000,Dry Bulk
12099100,Dry Bulk
12099900,Dry Bulk
12101000,Dry Bulk
12102000,Dry Bulk
12112000,Dry Bulk
12113000,Dry Bulk
12114000,Dry Bulk
12115000,Dry Bulk
12119000,Dry Bulk
12119010,Dry Bulk
12119020,Dry Bulk
12119080,Dry Bulk
12119090,Dry Bulk
12122100,Dry Bulk
12122900,Dry Bulk
12129100,Dry Bulk
12129200,Dry Bulk
12129300,Dry Bulk
12129400,Dry Bulk
12129900,Dry Bulk
12130000,Dry Bulk
12141000,Dry Bulk
12149000,Dry Bulk
13012000,Dry Bulk
13019000,Dry Bulk
13021100,Dry Bulk
13021200,Dry Bulk
13021300,Dry Bulk
13021400,Dry Bulk
13021900,Dry Bulk
13022000,Dry Bulk
13023100,Dry Bulk
13023200,Dry Bulk
13023900,Dry Bulk
14011000,Dry Bulk
14012000,Dry Bulk
14019000,Dry Bulk
14042000,Dry Bulk
14049000,Dry Bulk
15011000,Container
15012000,Container
15019000,Container
15021000,Container
15029000,Container
15030000,Container
15041000,Container
15042000,Container
15043000,Container
15050000,Container
15060000,Container
15071000,Container
15079000,Container
15081000,Container
15089000,Container
15091000,Container
15099000,Container
15100000,Container
15111000,Container
15119010,Container
15119020,Container
15119030,Container
15119040,Container
15119090,Container
15121100,Container
15121900,Container
15122100,Container
15122900,Container
15131100,Container
15131900,Container
15132100,Container
15132900,Container
15141100,Container
15141900,Container
15149100,Container
15149900,Container
15151100,Container
15151900,Container
15152100,Container
15152900,Container
15153000,Container
15155000,Container
15159000,Container
15161000,Container
15162000,Container
15171000,Container
15179000,Container
15180000,Container
15200000,Container
15211000,Container
15219000,Container
15220000,Container
16010000,Container
16021000,Container
16022000,Container
16023100,Container
16023200,Container
16023900,Container
16024100,Container
16024200,Container
16024900,Container
16025000,Container
16029000,Container
16030000,Container
16041100,Container
16041200,Container
16041300,Container
16041400,Container
16041500,Container
16041600,Container
16041700,Container
16041800,Container
16041900,Container
16042000,Container
16043100,Container
16043200,Container
16051000,Container
16052100,Container
16052900,Container
16053000,Container
16054000,Container
16055100,Container
16055200,Container
16055300,Container
16055400,Container
16055500,Container
16055600,Container
16055700,Container
16055800,Container
16055900,Container
16056100,Container
16056200,Container
16056300,Container
16056900,Container
17011200,Container
17011300,Container
17011400,Container
17019100,Container
17019900,Container
17021100,Container
17021900,Container
17022000,Container
17023000,Container
17024000,Container
17025000,Container
17026000,Container
17029000,Container
17031000,Container
17039000,Container
17041000,Container
17049000,Container
18010000,Container
18020000,Container
18031000,Container
18032000,Container
18040000,Container
18050000,Container
18061000,Container
18062000,Container
18063100,Container
18063200,Container
18069000,Container
19011000,Container
19012010,Container
19012090,Container
19019010,Container
19019090,Container
19021100,Container
19021900,Container
19022000,Container
19023000,Container
19024000,Container
19030000,Container
19041000,Container
19042000,Container
19043000,Container
19049000,Container
19051000,Container
19052000,Container
19053100,Container
19053210,Container
19053290,Container
19054000,Container
19059000,Container
19059010,Container
19059090,Container
20011000,Container
20019000,Container
20021000,Container
20029000,Container
20031000,Container
20039000,Container
20041000,Container
20049000,Container
20051000,Container
20052000,Container
20054000,Container
20055100,Container
20055900,Container
20056000,Container
20057000,Container
20058000,Container
20059100,Container
20059900,Container
20060000,Container
20071000,Container
20079100,Container
20079900,Container
20081100,Container
20081900,Container
20082000,Container
20083000,Container
20084000,Container
20085000,Container
20086000,Container
20087000,Container
20088000,Container
20089100,Container
20089300,Container
20089700,Container
20089900,Container
20091100,Container
20091200,Container
20091900,Container
20092100,Container
20092900,Container
20093100,Container
20093900,Container
20094100,Container
20094900,Container
20095000,Container
20096100,Container
20096900,Container
20097100,Container
20097900,Container
20098100,Container
20098900,Container
20099000,Container
21011100,Container
21011200,Container
21012000,Container
21013000,Container
21021000,Container
21022000,Container
21023000,Container
21031000,Container
21032000,Container
21033000,Container
21039000,Container
21041000,Container
21042000,Container
21050000,Container
21061000,Container
21069010,Container
21069020,Container
21069091,Container
21069092,Container
21069099,Container
22011000,Container
22019000,Container
22021000,Container
22029100,Container
22029900,Container
22030000,Container
22041000,Container
22042100,Container
22042200,Container
22042900,Container
22043000,Container
22051000,Container
22059000,Container
22060010,Container
22060020,Container
22060090,Container
22071000,Container
22072000,Container
22082000,Container
22083000,Container
22084000,Container
22085000,Container
22086000,Container
22087000,Container
22089010,Container
22089090,Container
22090000,Container
23011000,Container
23012000,Container
23021000,Container
23023000,Container
23024000,Container
23025000,Container
23031000,Container
23032000,Container
23033000,Container
23040000,Container
23050000,Container
23061000,Container
23062000,Container
23063000,Container
23064100,Container
23064900,Container
23065000,Container
23066000,Container
23069000,Container
23070000,Container
23080000,Container
23091000,Container
23099010,Container
23099090,Container
24011000,Container
24012000,Container
24013000,Container
24021000,Container
24022010,Container
24022090,Container
24029000,Container
24031100,Container
24031900,Container
24039100,Container
24039900,Container
25010000,Dry Bulk
25020000,Dry Bulk
25030000,Dry Bulk
25041000,Dry Bulk
25049000,Dry Bulk
25051000,Dry Bulk
25059000,Dry Bulk
25061000,Dry Bulk
25062000,Dry Bulk
25070000,Dry Bulk
25081000,Dry Bulk
25083000,Dry Bulk
25084000,Dry Bulk
25085000,Dry Bulk
25086000,Dry Bulk
25087000,Dry Bulk
25090000,Dry Bulk
25101000,Dry Bulk
25102000,Dry Bulk
25111000,Dry Bulk
25112000,Dry Bulk
25120000,Dry Bulk
25131000,Dry Bulk
25132000,Dry Bulk
25140000,Dry Bulk
25151100,Dry Bulk
25151200,Dry Bulk
25152000,Dry Bulk
25161100,Dry Bulk
25161200,Dry Bulk
25162000,Dry Bulk
25169000,Dry Bulk
25171000,Dry Bulk
25172000,Dry Bulk
25173000,Dry Bulk
25174100,Dry Bulk
25174900,Dry Bulk
25181000,Dry Bulk
25182000,Dry Bulk
25183000,Dry Bulk
25191000,Dry Bulk
25199000,Dry Bulk
25201000,Dry Bulk
25202000,Dry Bulk
25210000,Dry Bulk
25221000,Dry Bulk
25222000,Dry Bulk
25223000,Dry Bulk
25231000,Dry Bulk
25232100,Dry Bulk
25232900,Dry Bulk
25233000,Dry Bulk
25239000,Dry Bulk
25241000,Dry Bulk
25249000,Dry Bulk
25251000,Dry Bulk
25252000,Dry Bulk
25253000,Dry Bulk
25261000,Dry Bulk
25262000,Dry Bulk
25280000,Dry Bulk
25291000,Dry Bulk
25292100,Dry Bulk
25292200,Dry Bulk
25293000,Dry Bulk
25301000,Dry Bulk
25302000,Dry Bulk
25309000,Dry Bulk
26011100,Dry Bulk
26011200,Dry Bulk
26012000,Dry Bulk
26020000,Dry Bulk
26030000,Dry Bulk
26040000,Dry Bulk
26050000,Dry Bulk
26060000,Dry Bulk
26070000,Dry Bulk
26080000,Dry Bulk
26090000,Dry Bulk
26100000,Dry Bulk
26110000,Dry Bulk
26121000,Dry Bulk
26122000,Dry Bulk
26131000,Dry Bulk
26139000,Dry Bulk
26140000,Dry Bulk
26151000,Dry Bulk
26159000,Dry Bulk
26161000,Dry Bulk
26169000,Dry Bulk
26171000,Dry Bulk
26179000,Dry Bulk
26180000,Dry Bulk
26190000,Dry Bulk
26201100,Dry Bulk
26201900,Dry Bulk
26202100,Dry Bulk
26202900,Dry Bulk
26203000,Dry Bulk
26204000,Dry Bulk
26206000,Dry Bulk
26209100,Dry Bulk
26209900,Dry Bulk
26211000,Dry Bulk
26219000,Dry Bulk
27011100,Dry Bulk
27011200,Dry Bulk
27011900,Dry Bulk
27012000,Dry Bulk
27021000,Dry Bulk
27022000,Dry Bulk
27030000,Dry Bulk
27040000,Dry Bulk
27050000,Dry Bulk
27060000,Dry Bulk
27071000,Dry Bulk
27072000,Dry Bulk
27073000,Dry Bulk
27074000,Dry Bulk
27075000,Dry Bulk
27079100,Dry Bulk
27079900,Dry Bulk
27081000,Dry Bulk
27082000,Dry Bulk
27090000,Tanker
27101210,Tanker
27101220,Tanker
27101230,Tanker
27101240,Tanker
27101250,Tanker
27101290,Tanker
27101910,Tanker
27101921,Tanker
27101922,Tanker
27101929,Tanker
27101931,Tanker
27101932,Tanker
27101939,Tanker
27101941,Tanker
27101943,Tanker
27101949,Tanker
27101951,Tanker
27101952,Tanker
27101953,Tanker
27101954,Tanker
27101955,Tanker
27101956,Tanker
27101957,Tanker
27101959,Tanker
27102000,Tanker
27109100,Tanker
27109900,Tanker
27111100,Tanker
27111200,Tanker
27111300,Tanker
27111400,Tanker
27111900,Tanker
27112100,Tanker
27112900,Tanker
27121000,Dry Bulk
27122000,Dry Bulk
27129000,Dry Bulk
27131100,Dry Bulk
27131200,Dry Bulk
27132000,Dry Bulk
27139000,Dry Bulk
27141000,Dry Bulk
27149000,Dry Bulk
27150000,Dry Bulk
28011000,Tanker
28012000,Tanker
28013000,Tanker
28020000,Tanker
28030000,Tanker
28041000,Tanker
28042100,Tanker
28042900,Tanker
28043000,Tanker
28044000,Tanker
28045000,Tanker
28046100,Tanker
28046900,Tanker
28047000,Tanker
28048000,Tanker
28049000,Tanker
28051100,Tanker
28051200,Tanker
28051900,Tanker
28053000,Tanker
28054000,Tanker
28061000,Tanker
28062000,Tanker
28070000,Tanker
28080000,Tanker
28091000,Tanker
28092000,Tanker
28100000,Tanker
28111100,Tanker
28111200,Tanker
28111900,Tanker
28112100,Tanker
28112200,Tanker
28112900,Tanker
28121100,Tanker
28121200,Tanker
28121300,Tanker
28121400,Tanker
28121500,Tanker
28121600,Tanker
28121700,Tanker
28121900,Tanker
28129000,Tanker
28131000,Tanker
28139000,Tanker
28141000,Tanker
28142000,Tanker
28151100,Tanker
28151200,Tanker
28152000,Tanker
28153000,Tanker
28161000,Tanker
28164000,Tanker
28170010,Tanker
28170090,Tanker
28181000,Tanker
28182000,Tanker
28183000,Tanker
28191000,Tanker
28199000,Tanker
28201000,Tanker
28209000,Tanker
28211000,Tanker
28212000,Tanker
28220000,Tanker
28230000,Tanker
28241000,Tanker
28249000,Tanker
28251000,Tanker
28252000,Tanker
28253000,Tanker
28254000,Tanker
28255000,Tanker
28256000,Tanker
28257000,Tanker
28258000,Tanker
28259000,Tanker
28261200,Tanker
28261900,Tanker
28263000,Tanker
28269000,Tanker
28271000,Tanker
28272000,Tanker
28273100,Tanker
28273200,Tanker
28273500,Tanker
28273900,Tanker
28274100,Tanker
28274900,Tanker
28275100,Tanker
28275900,Tanker
28276000,Tanker
28281000,Tanker
28289000,Tanker
28291100,Tanker
28291900,Tanker
28299000,Tanker
28301000,Tanker
28309000,Tanker
28311000,Tanker
28319000,Tanker
28321000,Tanker
28322000,Tanker
28323000,Tanker
28331100,Tanker
28331900,Tanker
28332100,Tanker
28332200,Tanker
28332400,Tanker
28332500,Tanker
28332700,Tanker
28332900,Tanker
28333000,Tanker
28334000,Tanker
28341000,Tanker
28342100,Tanker
28342900,Tanker
28351000,Tanker
28352200,Tanker
28352400,Tanker
28352500,Tanker
28352600,Tanker
28352900,Tanker
28353100,Tanker
28353900,Tanker
28362000,Tanker
28363000,Tanker
28364000,Tanker
28365000,Tanker
28366000,Tanker
28369100,Tanker
28369200,Tanker
28369900,Tanker
28371100,Tanker
28371900,Tanker
28372000,Tanker
28391100,Tanker
28391900,Tanker
28399000,Tanker
28401100,Tanker
28401900,Tanker
28402000,Tanker
28403000,Tanker
28413000,Tanker
28415000,Tanker
28416100,Tanker
28416900,Tanker
28417000,Tanker
28418000,Tanker
28419000,Tanker
28421000,Tanker
28429000,Tanker
28431000,Tanker
28432100,Tanker
28432900,Tanker
28433000,Tanker
28439000,Tanker
28441000,Tanker
28442000,Tanker
28443000,Tanker
28444000,Tanker
28445000,Tanker
28451000,Tanker
28459000,Tanker
28461000,Tanker
28469000,Tanker
28470000,Tanker
28491000,Tanker
28492000,Tanker
28499000,Tanker
28500000,Tanker
28521000,Tanker
28529000,Tanker
28531000,Tanker
28539000,Tanker
29011000,Tanker
29012100,Tanker
29012200,Tanker
29012300,Tanker
29012400,Tanker
29012900,Tanker
29021100,Tanker
29021900,Tanker
29022000,Tanker
29023000,Tanker
29024100,Tanker
29024200,Tanker
29024300,Tanker
29024400,Tanker
29025000,Tanker
29026000,Tanker
29027000,Tanker
29029000,Tanker
29031100,Tanker
29031200,Tanker
29031300,Tanker
29031400,Tanker
29031500,Tanker
29031900,Tanker
29032100,Tanker
29032200,Tanker
29032300,Tanker
29032900,Tanker
29033100,Tanker
29033910,Tanker
29033990,Tanker
29037100,Tanker
29037200,Tanker
29037300,Tanker
29037400,Tanker
29037500,Tanker
29037600,Tanker
29037700,Tanker
29037800,Tanker
29037900,Tanker
29038100,Tanker
29038200,Tanker
29038300,Tanker
29038900,Tanker
29039100,Tanker
29039200,Tanker
29039300,Tanker
29039400,Tanker
29039900,Tanker
29041000,Tanker
29042000,Tanker
29043100,Tanker
29043200,Tanker
29043300,Tanker
29043400,Tanker
29043500,Tanker
29043600,Tanker
29049100,Tanker
29049900,Tanker
29051100,Tanker
29051200,Tanker
29051300,Tanker
29051400,Tanker
29051600,Tanker
29051700,Tanker
29051900,Tanker
29052200,Tanker
29052900,Tanker
29053100,Tanker
29053200,Tanker
29053900,Tanker
29054100,Tanker
29054200,Tanker
29054300,Tanker
29054400,Tanker
29054500,Tanker
29054900,Tanker
29055100,Tanker
29055900,Tanker
29061100,Tanker
29061200,Tanker
29061300,Tanker
29061900,Tanker
29062100,Tanker
29062900,Tanker
29071100,Tanker
29071200,Tanker
29071300,Tanker
29071500,Tanker
29071900,Tanker
29072100,Tanker
29072200,Tanker
29072300,Tanker
29072900,Tanker
29081100,Tanker
29081900,Tanker
29089100,Tanker
29089200,Tanker
29089900,Tanker
29091100,Tanker
29091900,Tanker
29092000,Tanker
29093000,Tanker
29094100,Tanker
29094300,Tanker
29094400,Tanker
29094900,Tanker
29095000,Tanker
29096000,Tanker
29101000,Tanker
29102000,Tanker
29103000,Tanker
29104000,Tanker
29105000,Tanker
29109000,Tanker
29110000,Tanker
29121100,Tanker
29121200,Tanker
29121900,Tanker
29122100,Tanker
